mut,rec,seqLen,dualInf,rep,generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
0.010,0.0000010,100,0.05,1,213,10000,64.43029702970297,99.0,1.5610298124715005E-87,2.003554179483344E-70,9.207328481110815E-67,1,1797.5907
0.0010,1.0E-7,2500,0.05,2,213,10000,29.675247524752475,46.0,2.7126736111111196E-7,0.11090498887283963,0.5208333333333334,11,202.1892
0.0010,0.0000010,1000,0.05,3,213,10000,20.88,39.0,7.81250000000003E-7,0.1761144843323208,0.8333333333333337,13,202.196
0.0010,1.0E-7,10000,0.05,3,213,10000,38.56158415841584,62.0,3.750000000000012E-7,0.16102067005735504,0.7500000000000001,18,202.2138
0.00010,0.0000010,100,0.05,2,213,10000,3.5057425742574257,9.0,0.0034722222222222216,0.5937814814814305,0.6944444444444441,1437,70.2898
0.010,0.0000010,10000,0.05,3,213,10000,68.6471287128713,183.0,4.3159352255214586E-82,1.3684309305565093E-66,1.8623811090682973E-63,1,1797.1785
0.00010,0.0000010,1000,0.05,1,213,10000,4.851485148514851,14.0,0.005000000000000002,0.859443833333341,1.0,714,59.4973
0.010,0.0000010,10000,0.05,2,213,10000,63.32990099009901,97.0,3.858746789861401E-86,2.0888153431749925E-71,2.1073902468360847E-68,1,1797.3165
0.00010,0.0000010,100,0.05,3,213,10000,5.12019801980198,13.0,0.002500000000000003,0.8611697916666737,1.0,769,59.633
0.0010,1.0E-7,10000,0.05,2,213,10000,35.245346534653464,57.0,1.2500000000000016E-6,0.21699592987804048,1.0,16,201.8602
0.0010,0.0000010,1000,0.05,2,213,10000,37.1970297029703,58.0,1.5625000000000044E-7,0.16220559565755038,0.7500000000000001,14,202.2679
0.0010,1.0E-7,2500,0.05,3,213,10000,26.7990099009901,42.0,2.6041666666666706E-8,0.051211507177294564,0.2777777777777778,23,202.495
0.0010,0.0000010,10000,0.05,1,213,10000,21.108514851485147,34.0,3.7500000000000094E-6,0.21936604540277926,1.0000000000000002,16,202.0398
0.0010,0.0000010,10000,0.05,3,213,10000,35.72079207920792,58.0,6.250000000000019E-7,0.2125798967916674,0.9999999999999998,26,202.2391
0.010,0.0000010,100,0.05,2,213,10000,57.67920792079208,105.0,2.184942207920201E-78,1.5319882349070643E-59,1.5731583897022905E-56,1,1797.5903
0.0010,1.0E-7,2500,0.05,1,213,10000,36.5829702970297,65.0,4.6875000000000107E-7,0.1568515772872714,0.75,23,202.0254
0.00010,0.0000010,100,0.05,1,213,10000,2.3336633663366335,8.0,3.472222222222227E-4,0.592483697916618,0.6944444444444445,2768,68.7429
0.00010,0.0000010,1000,0.05,3,213,10000,1.8681188118811882,7.0,0.005000000000000002,0.8571868333333413,1.0,3324,67.8245
0.00010,0.0000010,1000,0.05,2,213,10000,6.236039603960396,15.0,5.000000000000001E-4,0.8630318000000073,1.0,450,61.3052
0.010,0.0000010,10000,0.05,1,213,10000,83.88990099009901,152.0,4.9952953999090856E-88,4.052675021201279E-70,3.2737167932839847E-66,1,1798.646
0.0010,1.0E-7,10000,0.05,1,213,10000,33.7029702970297,53.0,6.250000000000019E-7,0.21191988800998401,1.0000000000000004,17,202.7463
0.0010,0.0000010,1000,0.05,1,213,10000,21.423564356435644,40.0,2.0833333333333394E-6,0.17110516621401048,1.0000000000000002,19,202.2042
0.010,0.0000010,100,0.05,3,213,10000,50.94792079207921,90.0,2.9635175346138467E-86,5.422132661284478E-70,2.8449768332288507E-67,1,1797.5383
0.0010,0.0000010,10000,0.05,2,213,10000,37.06693069306931,58.0,9.375000000000022E-7,0.16541278286751096,0.75,22,201.7425
0.00010,1.0E-7,1000,0.05,3,213,10000,4.194653465346534,11.0,0.005000000000000006,0.8601534791666736,1.0000000000000004,802,64.6105
0.010,1.0E-7,2500,0.05,1,213,10000,90.11108910891089,142.0,5.018742967050808E-88,7.67390449083502E-71,3.426128532172841E-67,1,1798.3656
0.00010,1.0E-7,1000,0.05,2,213,10000,5.7037623762376235,15.0,0.005000000000000002,0.8588657916666738,1.0,418,60.4586
0.010,1.0E-7,2500,0.05,3,213,10000,45.344752475247525,74.0,5.028428994485565E-78,2.3612988427922188E-60,7.72366693552861E-57,1,1797.1656
0.010,1.0E-7,2500,0.05,2,213,10000,66.38752475247524,160.0,2.4723864929962986E-83,9.097491124029655E-68,4.267465249843419E-65,1,1797.6582
0.00010,1.0E-7,1000,0.05,1,213,10000,5.805148514851485,13.0,5.000000000000001E-4,0.8531418416666747,1.0,402,60.9197
0.0010,0.0000010,5000,0.05,1,213,10000,32.76158415841584,51.0,9.765625000000007E-9,0.07175364127128801,0.3472222222222223,12,201.9899
0.00010,1.0E-7,100,0.05,1,213,10000,5.732079207920792,18.0,0.005000000000000002,0.8564086666666751,1.0,361,60.3965
0.00010,0.0000010,10000,0.05,2,213,10000,4.868118811881188,14.0,0.0010000000000000002,0.8560008083333412,0.9999999999999999,674,61.4189
0.00010,0.0000010,5000,0.05,2,213,10000,4.6184158415841585,12.0,0.0049999999999999975,0.8527931458333409,0.9999999999999997,454,64.48
0.010,1.0E-7,100,0.05,2,213,10000,96.70752475247525,171.0,1.21955454099339E-87,3.2422229180018385E-70,4.736280082876096E-67,1,1797.7539
0.010,1.0E-7,100,0.05,3,213,10000,52.02514851485149,93.0,5.35937054147462E-85,2.2629643449044E-67,4.683089437413861E-64,1,1798.2121
0.00010,0.0000010,5000,0.05,3,213,10000,5.2293069306930695,17.0,0.009999999999999995,0.8581164583333408,0.9999999999999997,762,61.0698
0.00010,0.0000010,10000,0.05,3,213,10000,4.540792079207921,13.0,8.333333333333348E-4,0.7116471319443842,0.8333333333333336,336,61.4398
0.00010,1.0E-7,100,0.05,2,213,10000,5.092475247524752,15.0,0.010000000000000004,0.8576321458333402,1.0000000000000002,715,62.5685
0.0010,0.0000010,5000,0.05,2,213,10000,16.06257425742574,35.0,3.255208333333339E-7,0.055106776016009267,0.26041666666666663,25,202.2254
0.00010,0.0000010,10000,0.05,1,213,10000,3.535049504950495,10.0,0.0010000000000000002,0.8569755166666744,1.0,1078,61.346
0.00010,0.0000010,5000,0.05,1,213,10000,2.7,9.0,0.005000000000000002,0.8560210416666747,1.0,2606,60.0118
0.010,1.0E-7,100,0.05,1,213,10000,69.24019801980198,131.0,7.309074201969459E-84,2.32446679657543E-67,1.1226737974223748E-63,1,1798.1097
0.0010,0.0000010,5000,0.05,3,213,10000,17.68990099009901,33.0,7.812500000000016E-7,0.16658287110875816,0.8333333333333334,18,202.3753
0.00010,1.0E-7,100,0.05,3,213,10000,5.33940594059406,14.0,7.50000000000001E-4,0.6391126999999958,0.75,366,61.2566
0.00010,1.0E-7,5000,0.05,1,213,10000,6.2536633663366334,16.0,0.005000000000000002,0.8577433611111189,1.0,254,60.8794
0.010,0.0000010,2500,0.05,2,213,10000,51.874455445544555,83.0,3.6787774993947225E-81,3.236950392905295E-65,1.0045515091679254E-61,1,1797.253
0.0010,1.0E-7,100,0.05,3,213,10000,36.60693069306931,58.0,6.250000000000019E-7,0.2119066394513899,1.0000000000000004,16,202.1972
0.0010,1.0E-7,100,0.05,2,213,10000,31.6819801980198,50.0,1.1718750000000037E-6,0.10168405401143396,0.4687500000000004,16,202.0347
0.010,0.0000010,2500,0.05,3,213,10000,76.8560396039604,145.0,2.354417599612515E-79,1.794931199713656E-63,3.1784637594763203E-60,1,1797.7452
0.00010,1.0E-7,5000,0.05,2,213,10000,1.6558415841584158,7.0,8.333333333333348E-4,0.7097621371527182,0.833333333333334,4205,71.9178
0.010,0.0000010,2500,0.05,1,213,10000,50.98514851485149,94.0,1.498588619972594E-84,2.234581684661179E-65,1.7459822897513262E-62,1,1796.7356
0.0010,1.0E-7,100,0.05,1,213,10000,32.584950495049505,56.0,5.208333333333347E-7,0.17866604760199503,0.8333333333333339,12,201.7948
0.00010,1.0E-7,5000,0.05,3,213,10000,4.524950495049505,13.0,0.003750000000000002,0.6415873437499963,0.75,599,59.1637
0.0010,1.0E-7,5000,0.05,2,213,10000,24.8380198019802,44.0,3.125000000000009E-7,0.21596238475911608,1.0000000000000004,18,202.6351
0.0010,1.0E-7,5000,0.05,3,213,10000,36.23465346534653,55.0,9.375000000000028E-8,0.21312402063752242,0.9999999999999999,17,202.4002
0.0010,1.0E-7,5000,0.05,1,213,10000,34.93782178217822,60.0,1.1718750000000016E-6,0.16195419167093744,0.7500000000000001,11,202.26
0.0010,0.0000010,100,0.05,1,213,10000,36.98118811881188,60.0,1.2500000000000026E-7,0.21586683712252774,1.0,16,202.1757
0.00010,1.0E-7,10000,0.05,3,213,10000,6.048316831683168,17.0,0.005000000000000002,0.8616703750000076,1.0,232,62.0195
0.00010,1.0E-7,10000,0.05,2,213,10000,6.809504950495049,16.0,0.005000000000000002,0.8583480833333413,1.0,375,60.1228
0.010,1.0E-7,5000,0.05,1,213,10000,50.07029702970297,81.0,2.3681400414385403E-83,2.445668140664881E-66,1.551984257556971E-62,1,1797.443
0.010,0.0000010,1000,0.05,1,213,10000,94.49108910891088,162.0,1.3487297579753922E-82,3.659387887730536E-65,4.092145991604762E-62,1,1797.7868
0.010,0.0000010,1000,0.05,3,213,10000,76.78950495049504,126.0,1.1988708959782638E-84,5.552944246619452E-69,6.069283910888814E-66,1,1797.9072
0.0010,0.0000010,100,0.05,2,213,10000,31.596435643564355,50.0,5.55555555555557E-7,0.1763252485133104,0.8333333333333336,20,201.9296
0.010,1.0E-7,5000,0.05,3,213,10000,88.42475247524753,156.0,2.6312667127092524E-83,1.5752933870496363E-67,4.5984718742425866E-64,1,1798.0661
0.00010,1.0E-7,10000,0.05,1,213,10000,2.9003960396039603,8.0,0.0019531249999999985,0.16679453938802086,0.19531249999999983,1868,70.738
0.010,1.0E-7,5000,0.05,2,213,10000,83.72118811881188,131.0,3.417827087918475E-87,6.082853863364396E-71,1.822841113556207E-67,1,1797.9745
0.0010,0.0000010,100,0.05,3,213,10000,29.32970297029703,52.0,2.929687500000009E-7,0.1756245874103003,0.8333333333333339,16,201.6141
0.010,0.0000010,1000,0.05,2,213,10000,59.851485148514854,112.0,7.983458115006567E-83,1.4301558443115966E-67,5.88604399903137E-64,1,1797.7125
0.0010,0.0000010,2500,0.05,1,213,10000,32.51207920792079,53.0,2.500000000000008E-6,0.2158369984427096,1.0000000000000002,21,202.3165
0.00010,0.0000010,2500,0.05,2,213,10000,3.4887128712871287,13.0,5.208333333333338E-4,0.5995339756943927,0.6944444444444446,2155,66.4766
0.00010,0.0000010,2500,0.05,3,213,10000,6.1912871287128715,15.0,0.003750000000000002,0.6482054062499959,1.0,270,63.4716
0.0010,1.0E-7,1000,0.05,1,213,10000,29.693069306930692,50.0,9.375000000000022E-7,0.210820510392319,1.0,17,201.5829
0.0010,1.0E-7,1000,0.05,3,213,10000,10.544950495049505,19.0,3.0517578125000054E-7,0.08253396800028487,0.390625,35,202.8658
0.0010,0.0000010,2500,0.05,2,213,10000,28.86158415841584,47.0,2.6041666666666717E-6,0.08992681850151911,0.4166666666666666,13,202.2145
0.00010,0.0000010,2500,0.05,1,213,10000,3.9588118811881188,10.0,2.8935185185185216E-4,0.24728962191360118,0.289351851851852,676,63.2197
0.0010,0.0000010,2500,0.05,3,213,10000,38.946336633663364,58.0,6.250000000000008E-7,0.21416399413107787,1.0,23,202.4542
0.0010,1.0E-7,1000,0.05,2,213,10000,41.55960396039604,65.0,1.4062500000000032E-7,0.21585251819136414,1.0,24,202.0936
0.010,0.0000010,5000,0.05,2,213,10000,103.01782178217822,169.0,1.6078111624424282E-87,7.89787739861459E-71,2.743997717234658E-67,1,1797.3983
0.00010,1.0E-7,2500,0.05,1,213,10000,4.846732673267327,12.0,0.005000000000000002,0.8554609583333413,1.0,1029,59.3338
0.010,1.0E-7,1000,0.05,2,213,10000,92.72554455445544,157.0,1.1100656444242375E-81,1.5862970593053585E-66,3.8799606438923026E-63,1,1797.8706
0.010,1.0E-7,1000,0.05,3,213,10000,67.10554455445545,110.0,3.122059624943007E-87,3.1889422728015336E-69,7.856920303881439E-66,1,1797.615
0.010,0.0000010,5000,0.05,3,213,10000,60.091683168316834,102.0,4.995295399908752E-81,1.0923057905479811E-64,2.0460729958023576E-61,1,1797.7565
0.010,1.0E-7,10000,0.05,1,213,10000,70.2318811881188,132.0,5.71666191090622E-85,2.067682362335355E-68,2.8417680497256294E-65,1,1797.7907
0.010,1.0E-7,10000,0.05,3,213,10000,83.00277227722772,130.0,1.3233013682653906E-86,3.649782863427783E-71,1.2044983120920818E-67,1,1797.3585
0.010,0.0000010,5000,0.05,1,213,10000,77.68138613861386,116.0,6.393978111884014E-82,4.6241025728927566E-66,3.973079699345981E-62,1,1797.0639
